homeaway,line,hit,pitchrightleft,cat,last10,last5,log,oppteam,overunder,batterID,whip,OPSlast5,temperature,wind,pitcherID,pitcherfip,pitcherFBPercent,avgvsFB,avgvsOFF,avgvsMPHFB,avg_spin_ff,avg_spin_off
1,0.5,1,0,r,2,1,0.3333333333333333,Seattle Mariners,10.0,33247,1.29,0.927,52.1,4.7,4297897,5.038683168316831,0.616,0.239,0.254,0.251,0.25,0.222
1,1.5,0,0,tb,5,2,0.3333333333333333,Seattle Mariners,10.0,33247,1.29,0.927,52.1,4.7,4297897,5.038683168316831,0.616,0.239,0.254,0.251,0.25,0.222
0,0.5,1,0,r,8,3,0.625,Kansas City Royals,8.5,34940,1.19,0.856,54.9,11.4,34873,3.916677419354839,0.518,0.278,0.251,0.267,0.307,0.241
0,1.5,1,0,tb,14,3,0.5,Kansas City Royals,8.5,34940,1.19,0.856,54.9,11.4,34873,3.916677419354839,0.518,0.278,0.251,0.267,0.307,0.241
0,0.5,1,0,r,3,1,0.25,Cleveland Guardians,7.5,40518,1.62,0.467,45.9,11.4,4345278,4.825257261410788,0.445,0.202,0.204,0.168,0.167,0.077
0,0.5,0,0,tb,7,3,0.5,Cleveland Guardians,7.5,40518,1.62,0.467,45.9,11.4,4345278,4.825257261410788,0.445,0.202,0.204,0.168,0.167,0.077
0,0.5,0,0,r,6,3,0.5,Kansas City Royals,8.5,35183,1.19,1.026,54.9,11.4,34873,3.916677419354839,0.518,0.293,0.278,0.258,0.406,0.067
0,0.5,0,0,tb,13,3,0.6428571428571429,Kansas City Royals,8.5,35183,1.19,1.026,54.9,11.4,34873,3.916677419354839,0.518,0.293,0.278,0.258,0.406,0.067
0,0.5,0,0,r,4,1,0.4117647058823529,St. Louis Cardinals,7.5,4417795,0.88,0.721,58.9,10.3,32082,0.6923801169590642,0.575,0.313,0.219,0.235,0.244,0.139
0,0.5,0,0,tb,11,3,0.6470588235294118,St. Louis Cardinals,7.5,4417795,0.88,0.721,58.9,10.3,32082,0.6923801169590642,0.575,0.313,0.219,0.235,0.244,0.139
1,0.5,0,1,r,6,3,0.5,Baltimore Orioles,8.5,31127,1.47,0.953,54.9,11.4,39869,4.202260663507109,0.608,0.3,0.261,0.281,0.306,0.333
1,1.5,0,1,tb,12,3,0.5555555555555556,Baltimore Orioles,8.5,31127,1.47,0.953,54.9,11.4,39869,4.202260663507109,0.608,0.3,0.261,0.281,0.306,0.333
1,0.5,0,0,r,2,1,0.14285714285714285,Los Angeles Angels,9.0,39924,1.19,0.383,49.9,8.1,40973,4.826047619047619,0.586,0.304,0.215,0.167,0.19,0.182
1,0.5,0,0,tb,5,1,0.21428571428571427,Los Angeles Angels,9.0,39924,1.19,0.383,49.9,8.1,40973,4.826047619047619,0.586,0.304,0.215,0.167,0.19,0.182
0,0.5,0,0,r,1,0,0.058823529411764705,Cleveland Guardians,7.5,35676,1.62,0.562,45.9,11.4,4345278,4.825257261410788,0.445,0.246,0.209,0.21,0.273,0.167
0,1.5,0,0,tb,3,1,0.17647058823529413,Cleveland Guardians,7.5,35676,1.62,0.562,45.9,11.4,4345278,4.825257261410788,0.445,0.246,0.209,0.21,0.273,0.167
1,0.5,1,0,r,4,3,0.5,New York Mets,9.0,39832,1.78,1.033,74.9,2.2,32157,5.1441727748691095,0.643,0.314,0.288,0.29,0.301,0.345
1,1.5,1,0,tb,9,3,0.6111111111111112,New York Mets,9.0,39832,1.78,1.033,74.9,2.2,32157,5.1441727748691095,0.643,0.314,0.288,0.29,0.301,0.345
1,0.5,0,0,r,5,2,0.5,Los Angeles Angels,9.0,4722857,1.19,1.014,49.9,8.1,40973,4.826047619047619,0.586,0.247,0.257,0.209,0.276,0.139
1,1.5,0,0,tb,9,1,0.5555555555555556,Los Angeles Angels,9.0,4722857,1.19,1.014,49.9,8.1,40973,4.826047619047619,0.586,0.247,0.257,0.209,0.276,0.139
