homeaway,line,hit,rightleft,opprank,cat,last5,oppteam,pitcherID,righthitters,inningspitchedlast3,temperature,wind,fip,overunder
0,4.5,1,0,26,hits,4,Tampa Bay Rays,39910,5,5.7,90.1,4.7,3.3548181818181817,7.0
1,2.5,0,0,4,era,3,Boston Red Sox,31109,6,4.133333333333333,81.9,8.1,3.4751748178980226,9.5
1,4.5,1,0,1,hits,2,Boston Red Sox,31109,6,4.133333333333333,81.9,8.1,3.4751748178980226,9.5
1,17.5,0,1,7,outs,2,Kansas City Royals,4414528,7,5.1,78,5.8,5.039811594202899,9.0
1,3.5,1,1,7,era,2,Kansas City Royals,4414528,7,5.1,78,5.8,5.039811594202899,9.0
1,5.5,1,1,7,hits,4,Kansas City Royals,4414528,7,5.1,78,5.8,5.039811594202899,9.0
0,16.5,1,0,9,outs,2,Milwaukee Brewers,33194,6,4.733333333333333,74,16.1,4.9046666666666665,8.5
0,2.5,0,0,9,era,2,Milwaukee Brewers,33194,6,4.733333333333333,74,16.1,4.9046666666666665,8.5
0,5.5,0,0,10,hits,1,Milwaukee Brewers,33194,6,4.733333333333333,74,16.1,4.9046666666666665,8.5
0,1.5,0,1,25,era,2,Oakland Athletics,33748,9,7.033333333333334,70.1,9.2,2.7551052631578945,7.0
0,17.5,1,1,25,outs,5,Oakland Athletics,33748,9,7.033333333333334,70.1,9.2,2.7551052631578945,7.0
0,3.5,1,1,27,hits,2,Oakland Athletics,33748,9,7.033333333333334,70.1,9.2,2.7551052631578945,7.0
0,14.5,1,0,20,outs,3,Chicago Cubs,4734325,7,4.033333333333333,72.1,19.5,4.650341772151899,7.0
0,2.5,0,0,20,era,1,Chicago Cubs,4734325,7,4.033333333333333,72.1,19.5,4.650341772151899,7.0
0,4.5,0,0,23,hits,1,Chicago Cubs,4734325,7,4.033333333333333,72.1,19.5,4.650341772151899,7.0
1,14.5,1,0,11,outs,1,San Diego Padres,4720860,5,3.1,90.9,4.7,3.163,11.5
1,3.5,0,0,11,era,0,San Diego Padres,4720860,5,3.1,90.9,4.7,3.163,11.5
1,6.5,0,0,2,hits,0,San Diego Padres,4720860,5,3.1,90.9,4.7,3.163,11.5
0,17.5,1,0,14,outs,3,Cincinnati Reds,41172,6,5.733333333333333,78,5.8,3.6587507082152975,9.0
0,2.5,0,0,14,era,3,Cincinnati Reds,41172,6,5.733333333333333,78,5.8,3.6587507082152975,9.0
0,5.5,0,0,28,hits,3,Cincinnati Reds,41172,6,5.733333333333333,78,5.8,3.6587507082152975,9.0
0,17.5,0,0,26,outs,3,Los Angeles Angels,29155,7,4.733333333333333,83.9,6.9,4.58363492063492,9.5
0,2.5,0,0,26,era,2,Los Angeles Angels,29155,7,4.733333333333333,83.9,6.9,4.58363492063492,9.5
0,5.5,0,0,24,hits,4,Los Angeles Angels,29155,7,4.733333333333333,83.9,6.9,4.58363492063492,9.5
0,15.5,1,1,24,outs,1,St. Louis Cardinals,28963,7,4.2,83,10.3,2.9963333333333333,7.5
0,2.5,0,1,24,era,1,St. Louis Cardinals,28963,7,4.2,83,10.3,2.9963333333333333,7.5
0,4.5,0,1,13,hits,3,St. Louis Cardinals,28963,7,4.2,83,10.3,2.9963333333333333,7.5
1,17.5,1,0,13,outs,2,Cleveland Guardians,33950,5,6.033333333333334,74,16.1,4.443532938564027,8.5
1,2.5,0,0,13,era,1,Cleveland Guardians,33950,5,6.033333333333334,74,16.1,4.443532938564027,8.5
1,5.5,0,0,22,hits,1,Cleveland Guardians,33950,5,6.033333333333334,74,16.1,4.443532938564027,8.5
1,1.5,0,1,30,era,3,Chicago White Sox,36581,5,6.466666666666666,97.1,3.4,3.345215743440233,8.0
1,18.5,1,1,30,outs,2,Chicago White Sox,36581,5,6.466666666666666,97.1,3.4,3.345215743440233,8.0
1,4.5,0,1,29,hits,1,Chicago White Sox,36581,5,6.466666666666666,97.1,3.4,3.345215743440233,8.0
0,17.5,1,0,21,outs,2,Pittsburgh Pirates,42406,11,4.433333333333333,74.9,9.2,3.1230532623169105,8.5
0,2.5,0,0,21,era,2,Pittsburgh Pirates,42406,11,4.433333333333333,74.9,9.2,3.1230532623169105,8.5
0,5.5,0,0,20,hits,4,Pittsburgh Pirates,42406,11,4.433333333333333,74.9,9.2,3.1230532623169105,8.5
1,17.5,1,1,16,outs,4,San Francisco Giants,39818,7,7.0,70.1,9.2,4.41831914893617,7.0
1,2.5,0,1,16,era,2,San Francisco Giants,39818,7,7.0,70.1,9.2,4.41831914893617,7.0
1,4.5,1,1,15,hits,2,San Francisco Giants,39818,7,7.0,70.1,9.2,4.41831914893617,7.0
1,15.5,1,0,15,outs,1,Atlanta Braves,4917819,7,4.733333333333333,83.9,6.9,6.529336633663366,9.5
1,3.5,0,0,15,era,2,Atlanta Braves,4917819,7,4.733333333333333,83.9,6.9,6.529336633663366,9.5
1,5.5,1,0,16,hits,3,Atlanta Braves,4917819,7,4.733333333333333,83.9,6.9,6.529336633663366,9.5
0,3.5,1,0,6,era,2,Philadelphia Phillies,41290,4,5.3999999999999995,81.1,9.2,4.302072847682119,9.5
0,6.5,1,0,5,hits,2,Philadelphia Phillies,41290,4,5.3999999999999995,81.1,9.2,4.302072847682119,9.5
1,2.5,1,0,27,era,2,Seattle Mariners,35284,4,3.0666666666666664,74.9,9.2,5.237074074074074,8.5
1,4.5,1,0,30,hits,1,Seattle Mariners,35284,4,3.0666666666666664,74.9,9.2,5.237074074074074,8.5
0,2.5,0,0,17,era,1,Colorado Rockies,34848,5,4.066666666666666,90.9,4.7,5.042310344827586,11.5
