homeaway,line,hit,position,opp,cat,last10,last5,log,oppposrank,oppteam,gamescore,minutes,shots,spread
1,19.5,0,Point Guard,14,points,0.6,0.8,0.02,4,Okla City,238,-0.5,0.4,14
1,2.5,0,Point Guard,24,3-pt,0.6,1.0,0.48,23,Okla City,238,-0.5,0.4,14
1,34.5,0,Point Guard,18,pra,0.4,0.6,0.55,8,Okla City,238,-0.5,0.4,14
1,4.5,0,Point Guard,25,rebounds,0.4,0.2,0.36,25,Okla City,238,-0.5,0.4,14
1,0.5,1,Guard,4,3-pt,0.7,0.8,0.44,5,Orlando,239,14.5,3.7,9
1,11.5,1,Guard,4,points,0.4,0.2,0.0,5,Orlando,239,14.5,3.7,9
1,2.5,1,Guard,1,rebounds,0.2,0.2,0.15,4,Orlando,239,14.5,3.7,9
1,20.5,1,Guard,2,pra,0.6,0.6,0.19,3,Orlando,239,14.5,3.7,9
1,5.5,1,Guard,1,assists,0.6,0.8,0.28,4,Orlando,239,14.5,3.7,9
0,11.5,1,Center,9,rebounds,0.4,0.4,0.4,18,New Orleans,220,1.4,2.5,2
0,2.5,1,Center,25,3-pt,0.3,0.4,0.24,20,New Orleans,220,1.4,2.5,2
0,25.5,0,Center,8,points,0.4,0.4,0.0,16,New Orleans,220,1.4,2.5,2
0,4.5,1,Center,16,assists,0.7,0.8,0.3,20,New Orleans,220,1.4,2.5,2
0,42.5,0,Center,8,pra,0.5,0.6,0.19,18,New Orleans,220,1.4,2.5,2
0,1.5,1,Center,23,3-pt,0.3,0.4,0.35,11,Charlotte,239,-1.0,-0.4,9
0,11.5,1,Center,21,points,0.4,0.6,0.0,28,Charlotte,239,-1.0,-0.4,9
0,21.5,0,Center,24,pra,0.4,0.6,0.39,28,Charlotte,239,-1.0,-0.4,9
0,8.5,0,Center,20,rebounds,0.4,0.6,0.33,29,Charlotte,239,-1.0,-0.4,9
1,0.5,1,Power Forward,10,3-pt,0.6,0.4,0.27,8,Cleveland,213,2.4,2.4,19
1,13.5,0,Power Forward,12,rebounds,0.7,0.8,0.43,8,Cleveland,213,2.4,2.4,19
1,2.5,1,Power Forward,6,assists,0.5,0.2,0.65,4,Cleveland,213,2.4,2.4,19
1,23.5,0,Power Forward,7,points,0.5,0.8,0.0,7,Cleveland,213,2.4,2.4,19
1,40.5,0,Power Forward,7,pra,0.6,0.6,0.54,5,Cleveland,213,2.4,2.4,19
1,1.5,0,Shooting Guard,10,3-pt,0.5,0.2,0.55,9,Cleveland,213,1.1,1.2,19
1,15.5,0,Shooting Guard,7,points,0.4,0.4,0.0,2,Cleveland,213,1.1,1.2,19
1,25.5,0,Shooting Guard,7,pra,0.4,0.4,0.51,2,Cleveland,213,1.1,1.2,19
1,4.5,0,Shooting Guard,12,rebounds,0.6,0.4,0.41,7,Cleveland,213,1.1,1.2,19
1,5.5,1,Shooting Guard,6,assists,0.6,0.8,0.49,3,Cleveland,213,1.1,1.2,19
0,16.5,1,Shooting Guard,6,points,0.6,0.8,0.0,6,Denver,252,6.2,1.8,32
0,2.5,1,Shooting Guard,2,3-pt,0.5,0.4,0.59,4,Denver,252,6.2,1.8,32
0,23.5,0,Shooting Guard,5,pra,0.6,0.8,0.42,5,Denver,252,6.2,1.8,32
0,3.5,0,Shooting Guard,9,assists,0.6,0.8,0.39,11,Denver,252,6.2,1.8,32
0,3.5,0,Shooting Guard,3,rebounds,0.6,0.8,0.45,9,Denver,252,6.2,1.8,32
0,4.5,1,Power Forward,3,rebounds,0.4,0.2,0.38,14,Denver,252,5.5,0.4,32
0,6.5,0,Power Forward,6,points,0.6,0.6,0.0,9,Denver,252,5.5,0.4,32
1,2.5,0,Shooting Guard,7,3-pt,0.4,0.6,0.36,10,Detroit,216,6.3,3.7,10
1,26.5,1,Shooting Guard,26,points,0.5,0.8,0.02,26,Detroit,216,6.3,3.7,10
1,34.5,1,Shooting Guard,25,pra,0.4,0.6,0.25,21,Detroit,216,6.3,3.7,10
1,4.5,1,Shooting Guard,18,assists,0.4,0.4,0.2,12,Detroit,216,6.3,3.7,10
1,4.5,1,Shooting Guard,15,rebounds,0.4,0.2,0.28,5,Detroit,216,6.3,3.7,10
0,1.5,0,Shooting Guard,28,3-pt,0.4,0.6,0.44,21,LA Lakers,213,2.1,-2.2,19
0,10.5,1,Shooting Guard,23,points,0.7,0.6,0.02,23,LA Lakers,213,2.1,-2.2,19
0,19.5,1,Shooting Guard,21,pra,0.7,0.6,0.59,23,LA Lakers,213,2.1,-2.2,19
0,3.5,1,Shooting Guard,14,rebounds,0.6,0.6,0.56,14,LA Lakers,213,2.1,-2.2,19
0,4.5,0,Shooting Guard,26,assists,0.8,0.8,0.59,28,LA Lakers,213,2.1,-2.2,19
0,10.5,1,Center,6,points,0.7,0.6,0.01,22,Denver,252,3.3,-0.1,32
0,22.5,1,Center,5,pra,0.7,0.6,0.57,17,Denver,252,3.3,-0.1,32
0,9.5,1,Center,3,rebounds,0.8,0.8,0.65,6,Denver,252,3.3,-0.1,32
1,17.5,1,Point Guard,7,points,0.7,0.8,0.0,9,Cleveland,213,1.0,0.9,19
1,26.5,1,Point Guard,7,pra,0.6,0.6,0.51,2,Cleveland,213,1.0,0.9,19
1,3.5,1,Point Guard,10,3-pt,0.7,0.8,0.38,10,Cleveland,213,1.0,0.9,19
1,3.5,1,Point Guard,12,rebounds,0.4,0.2,0.33,2,Cleveland,213,1.0,0.9,19
1,5.5,0,Point Guard,6,assists,0.6,0.4,0.57,3,Cleveland,213,1.0,0.9,19
0,1.5,1,Point Guard,28,3-pt,0.4,0.4,0.6,22,LA Lakers,213,1.2,-3.1,19
0,16.5,1,Point Guard,23,points,0.2,0.0,0.0,27,LA Lakers,213,1.2,-3.1,19
0,2.5,0,Point Guard,14,rebounds,0.6,0.6,0.45,22,LA Lakers,213,1.2,-3.1,19
0,25.5,1,Point Guard,21,pra,0.5,0.4,0.57,29,LA Lakers,213,1.2,-3.1,19
0,6.5,0,Point Guard,26,assists,0.8,1.0,0.55,27,LA Lakers,213,1.2,-3.1,19
0,15.5,1,Small Forward,6,points,0.4,0.4,0.0,1,Denver,252,6.7,1.9,32
0,2.5,0,Small Forward,2,3-pt,0.4,0.4,0.3,1,Denver,252,6.7,1.9,32
0,21.5,0,Small Forward,5,pra,0.4,0.4,0.45,1,Denver,252,6.7,1.9,32
0,3.5,0,Small Forward,3,rebounds,0.6,0.6,0.53,7,Denver,252,6.7,1.9,32
0,2.5,1,Shooting Guard,2,3-pt,0.7,0.8,0.51,4,Denver,252,2.8,4.9,32
0,22.5,0,Shooting Guard,6,points,0.5,0.4,0.0,6,Denver,252,2.8,4.9,32
0,35.5,0,Shooting Guard,5,pra,0.7,0.6,0.41,5,Denver,252,2.8,4.9,32
0,4.5,0,Shooting Guard,3,rebounds,0.8,0.8,0.62,9,Denver,252,2.8,4.9,32
0,8.5,1,Shooting Guard,9,assists,0.6,0.4,0.28,11,Denver,252,2.8,4.9,32
1,1.5,0,Point Guard,7,3-pt,0.5,0.6,0.45,5,Detroit,216,1.4,2.7,10
1,15.5,1,Point Guard,26,points,0.4,0.4,0.01,19,Detroit,216,1.4,2.7,10
1,25.5,1,Point Guard,25,pra,0.5,0.6,0.38,18,Detroit,216,1.4,2.7,10
1,3.5,1,Point Guard,15,rebounds,0.5,0.6,0.29,11,Detroit,216,1.4,2.7,10
1,6.5,0,Point Guard,18,assists,0.6,0.6,0.43,13,Detroit,216,1.4,2.7,10
0,23.5,0,Shooting Guard,23,points,0.3,0.2,0.02,23,LA Lakers,213,-4.3,-5.5,19
0,3.5,0,Shooting Guard,28,3-pt,0.3,0.2,0.51,21,LA Lakers,213,-4.3,-5.5,19
0,3.5,1,Shooting Guard,14,rebounds,0.6,0.2,0.7,14,LA Lakers,213,-4.3,-5.5,19
0,33.5,0,Shooting Guard,21,pra,0.2,0.0,0.6,23,LA Lakers,213,-4.3,-5.5,19
0,4.5,1,Shooting Guard,26,assists,0.6,0.6,0.74,28,LA Lakers,213,-4.3,-5.5,19
1,1.5,0,Power Forward,7,3-pt,0.2,0.2,0.48,5,Detroit,216,1.5,-1.1,10
1,4.5,1,Power Forward,15,rebounds,0.3,0.2,0.43,10,Detroit,216,1.5,-1.1,10
1,8.5,0,Power Forward,26,points,0.4,0.4,0.02,23,Detroit,216,1.5,-1.1,10
0,0.5,1,Power Forward,28,3-pt,0.6,1.0,0.31,25,LA Lakers,213,0.8,-0.2,19
0,15.5,0,Power Forward,23,points,0.6,0.8,0.0,26,LA Lakers,213,0.8,-0.2,19
0,27.5,0,Power Forward,21,pra,0.7,0.8,0.64,17,LA Lakers,213,0.8,-0.2,19
0,3.5,0,Power Forward,26,assists,0.7,0.6,0.38,16,LA Lakers,213,0.8,-0.2,19
0,8.5,0,Power Forward,14,rebounds,0.4,0.4,0.62,16,LA Lakers,213,0.8,-0.2,19
1,0.5,0,Point Guard,10,3-pt,0.2857142857142857,0.4,0.29,10,Cleveland,213,-1.5,-1.1,19
0,1.5,1,Shooting Guard,2,3-pt,0.6,0.6,0.41,4,Denver,252,2.5,1.7,32
0,1.5,1,Small Forward,28,3-pt,0.6,0.4,0.58,28,LA Lakers,213,-0.8,0.8,19
0,2.5,0,Small Forward,14,rebounds,0.6,0.4,0.64,17,LA Lakers,213,-0.8,0.8,19
0,6.5,1,Small Forward,23,points,0.7,0.6,0.0,20,LA Lakers,213,-0.8,0.8,19
0,1.5,1,Point Guard,15,3-pt,0.3,0.4,0.42,29,Brooklyn,216,2.2,3.0,10
0,19.5,0,Point Guard,16,points,0.3,0.4,0.0,25,Brooklyn,216,2.2,3.0,10
0,27.5,1,Point Guard,13,pra,0.3,0.4,0.28,21,Brooklyn,216,2.2,3.0,10
0,3.5,1,Point Guard,22,rebounds,0.4,0.4,0.4,14,Brooklyn,216,2.2,3.0,10
0,4.5,1,Point Guard,7,assists,0.3,0.4,0.31,8,Brooklyn,216,2.2,3.0,10
0,1.5,0,Small Forward,2,3-pt,0.6,0.8,0.39,1,Denver,252,-0.7,1.8,32
